user,gender,decision,incentive,congestion_level,waiting_time_in_q,dwell_time
2.0,1.0,1.0,0.0,1.0,15.0,0.0
10.0,2.0,1.0,0.0,1.0,0.0,60.0
11.0,2.0,1.0,0.0,1.0,15.0,0.0
12.0,2.0,1.0,10.0,1.0,0.0,60.0
13.0,1.0,1.0,5.0,1.0,0.0,60.0
19.0,1.0,1.0,5.0,1.0,0.0,60.0
22.0,1.0,1.0,0.0,1.0,15.0,0.0
28.0,2.0,1.0,0.0,1.0,15.0,0.0
38.0,2.0,1.0,0.0,1.0,15.0,0.0
43.0,2.0,1.0,0.0,1.0,15.0,0.0
45.0,2.0,1.0,0.0,1.0,15.0,0.0
47.0,2.0,1.0,0.0,1.0,15.0,0.0
49.0,2.0,1.0,0.0,1.0,15.0,0.0
50.0,2.0,1.0,5.0,1.0,0.0,60.0
62.0,1.0,1.0,0.0,1.0,15.0,0.0
65.0,2.0,1.0,0.0,1.0,0.0,60.0
68.0,2.0,1.0,0.0,1.0,15.0,0.0
73.0,2.0,1.0,5.0,1.0,0.0,60.0
74.0,2.0,1.0,0.0,1.0,15.0,0.0
79.0,1.0,1.0,0.0,1.0,0.0,60.0
81.0,2.0,1.0,0.0,1.0,15.0,0.0
83.0,1.0,1.0,0.0,1.0,15.0,0.0
84.0,2.0,1.0,0.0,1.0,15.0,0.0
93.0,2.0,1.0,5.0,1.0,0.0,60.0
94.0,1.0,1.0,0.0,1.0,15.0,0.0
96.0,2.0,1.0,0.0,1.0,15.0,0.0
99.0,2.0,1.0,0.0,1.0,15.0,0.0
104.0,1.0,1.0,0.0,1.0,0.0,60.0
106.0,2.0,1.0,10.0,1.0,0.0,60.0
108.0,1.0,1.0,0.0,1.0,15.0,0.0
112.0,2.0,1.0,0.0,1.0,15.0,0.0
113.0,2.0,1.0,5.0,1.0,0.0,60.0
123.0,2.0,1.0,0.0,1.0,15.0,0.0
126.0,2.0,1.0,0.0,1.0,15.0,0.0
128.0,1.0,1.0,0.0,1.0,15.0,0.0
131.0,1.0,1.0,0.0,1.0,0.0,60.0
132.0,2.0,1.0,0.0,1.0,15.0,0.0
135.0,2.0,1.0,5.0,1.0,0.0,60.0
138.0,2.0,1.0,0.0,1.0,15.0,0.0
143.0,2.0,1.0,0.0,1.0,15.0,0.0
146.0,2.0,1.0,0.0,1.0,0.0,60.0
149.0,2.0,1.0,0.0,1.0,15.0,0.0
150.0,2.0,1.0,0.0,1.0,15.0,0.0
153.0,2.0,1.0,10.0,1.0,0.0,60.0
157.0,2.0,1.0,0.0,1.0,15.0,0.0
161.0,2.0,1.0,5.0,1.0,0.0,60.0
162.0,2.0,1.0,0.0,1.0,15.0,0.0
163.0,1.0,1.0,5.0,1.0,0.0,60.0
164.0,2.0,1.0,10.0,1.0,0.0,60.0
165.0,2.0,1.0,0.0,1.0,15.0,0.0
166.0,1.0,1.0,0.0,1.0,15.0,0.0
168.0,1.0,1.0,0.0,1.0,15.0,0.0
169.0,2.0,1.0,0.0,1.0,15.0,0.0
171.0,2.0,1.0,0.0,1.0,15.0,0.0
176.0,1.0,1.0,0.0,1.0,15.0,0.0
179.0,2.0,1.0,0.0,1.0,15.0,0.0
182.0,2.0,1.0,0.0,1.0,15.0,0.0
184.0,2.0,1.0,10.0,1.0,0.0,60.0
190.0,1.0,1.0,10.0,1.0,0.0,60.0
191.0,2.0,1.0,10.0,1.0,0.0,60.0
192.0,2.0,1.0,10.0,1.0,0.0,60.0
193.0,2.0,1.0,0.0,1.0,15.0,0.0
194.0,2.0,1.0,0.0,1.0,15.0,0.0
195.0,1.0,1.0,5.0,1.0,0.0,60.0
197.0,1.0,1.0,0.0,1.0,15.0,0.0
