individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
3.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,0
3.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,0
4.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,1
4.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,1
5.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,2
5.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,2
5.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,3
5.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,3
5.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,4
5.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,4
5.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,5
5.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,5
5.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,6
5.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,6
5.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,7
5.0,2.0,MRT,0.0,60.0,7.0,0.0,stay,7
7.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,8
7.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,8
8.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,9
8.0,2.0,MRT,0.0,60.0,0.0,0.0,stay,9
8.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,10
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,10
8.0,2.0,MRT,1.0,45.0,3.0,0.0,stay,11
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,11
8.0,2.0,MRT,1.0,60.0,3.0,0.0,stay,12
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,12
8.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,13
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,13
8.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,14
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,14
8.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,15
8.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,15
8.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,16
8.0,2.0,MRT,0.0,75.0,3.0,0.0,stay,16
8.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,17
8.0,2.0,MRT,0.0,75.0,7.0,0.0,stay,17
9.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,18
9.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,18
16.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,19
16.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,19
16.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,20
16.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,20
16.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,21
16.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,21
16.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,22
16.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,22
16.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,23
16.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,23
16.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,24
16.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,24
16.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,25
16.0,2.0,MRT,0.0,75.0,7.0,0.0,stay,25
17.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,26
17.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,26
18.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,27
18.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,27
21.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,28
21.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,28
24.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,29
24.0,1.0,MRT,0.0,60.0,0.0,0.0,stay,29
24.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,30
24.0,1.0,MRT,0.0,60.0,3.0,0.0,stay,30
24.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,31
24.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,31
24.0,1.0,MRT,1.0,45.0,7.0,0.0,stay,32
24.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,32
24.0,1.0,MRT,1.0,60.0,7.0,0.0,stay,33
24.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,33
24.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,34
24.0,1.0,MRT,0.0,75.0,7.0,0.0,stay,34
25.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,35
25.0,2.0,MRT,0.0,120.0,0.0,0.0,stay,35
25.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,36
25.0,2.0,MRT,0.0,120.0,3.0,0.0,stay,36
25.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,37
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,37
25.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,38
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,38
25.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,39
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,39
25.0,2.0,MRT,1.0,75.0,7.0,0.0,stay,40
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,40
25.0,2.0,MRT,1.0,90.0,7.0,0.0,stay,41
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,41
25.0,2.0,MRT,1.0,105.0,7.0,0.0,stay,42
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,42
25.0,2.0,MRT,1.0,120.0,7.0,0.0,stay,43
25.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,43
25.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,44
25.0,2.0,MRT,0.0,135.0,7.0,0.0,stay,44
26.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,45
26.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,45
27.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,46
27.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,46
29.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,47
29.0,1.0,MRT,0.0,75.0,0.0,0.0,stay,47
29.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,48
29.0,1.0,MRT,0.0,75.0,3.0,0.0,stay,48
